"stable_id","file","line","end_line","scope","syntactic_contract_family","normative_anchor","work_item_anchor","classification","reason","evidence","source_sha256"
"R1-db6b1c878c57774333d39049","bins/eliot-agent-bridge/src/lib.rs","87","87","production-or-mixed","typed/CliError::UnsupportedProfile","UNKNOWN","UNKNOWN","Designed","intentional unsupported platform/profile or capability refusal; evidence=variant-name","CliError::UnsupportedProfile(other.to_owned())","0ee791bc856e0c47501358536e908fcdf445d078e954d811c0ace8e995d585f1"
"R1-a6d31ed09fa80c5b157a34e4","bins/eliot-host/src/journal_tests.rs","112","112","test-only","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","f599c52e3a941593099160c4944a91352098515fbac58fc0bbf5f229b6943ee8"
"R1-2aed2d34a1d05cf0b5eb7089","bins/eliot-host/src/journal_tests.rs","120","120","test-only","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","f599c52e3a941593099160c4944a91352098515fbac58fc0bbf5f229b6943ee8"
"R1-44ba132c47091706ae55dd25","bins/eliot-host/src/journal_tests.rs","124","124","test-only","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","f599c52e3a941593099160c4944a91352098515fbac58fc0bbf5f229b6943ee8"
"R1-f2ab499be2734d7c939d6e1f","bins/eliot-host/src/journal_tests.rs","128","128","test-only","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","f599c52e3a941593099160c4944a91352098515fbac58fc0bbf5f229b6943ee8"
"R1-091736f1be06b730af04ad77","bins/eliot-host/src/journal_tests.rs","132","132","test-only","typed/BackendError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","BackendError::Unavailable","f599c52e3a941593099160c4944a91352098515fbac58fc0bbf5f229b6943ee8"
"R1-d35137a1e005b0e0d2edee12","bins/eliot-kernel/src/lib.rs","1939","1939","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-695e9473d8e5f4d846792778","bins/eliot-kernel/src/lib.rs","1946","1948","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable( ""Store revision key collides with reserved snapshot binding"".to_owned(), )","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-379875bd074a3268c47d11f2","bins/eliot-kernel/src/lib.rs","1960","1960","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-cd9eabf5353a4826bc2b8b59","bins/eliot-kernel/src/lib.rs","1973","1973","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-a91daec6d82d5759aae4b782","bins/eliot-kernel/src/lib.rs","1982","1982","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-b7d8d1fd9cc75ad6ec87ffd4","bins/eliot-kernel/src/lib.rs","1985","1985","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
